canonical_smiles	compound_chembl_id	standard_relation	standard_value	publication_year	document_chembl_id
N#Cc1cccc(NC(=O)Nc2ccc([C@@H]3CNCCO3)cc2F)c1F	CHEMBL3673004	=	2.8	2015	CHEMBL3638970
N#Cc1cc(NC(=O)Nc2ccc([C@@H]3CNCCO3)cc2F)ccc1F	CHEMBL3673005	=	0.7	2015	CHEMBL3638970
O=C(Nc1ccc(Cl)cn1)Nc1ccc([C@H]2CNCCO2)cc1Cl	CHEMBL3673006	=	3.0	2015	CHEMBL3638970
N#Cc1ccc(NC(=O)Nc2ccc([C@@H]3CNCCO3)cc2Br)cn1	CHEMBL3673007	=	21.8	2015	CHEMBL3638970
N#Cc1ccc(NC(=O)Nc2ccc([C@H]3CNCCO3)cc2Br)cn1	CHEMBL3673008	=	16.1	2015	CHEMBL3638970
O=C(Nc1ccc(Cl)nc1)Nc1ccc([C@@H]2CNCCO2)cc1Br	CHEMBL3673009	=	3.8	2015	CHEMBL3638970
O=C(Nc1ccc(Cl)nc1)Nc1ccc([C@H]2CNCCO2)cc1Br	CHEMBL3673010	=	8.1	2015	CHEMBL3638970
O=C(Nc1cnc(C(F)(F)F)nc1)Nc1ccc([C@H]2CNCCO2)cc1Br	CHEMBL3673011	=	18.0	2015	CHEMBL3638970
O=C(Nc1cnc(C(F)(F)F)nc1)Nc1ccc([C@@H]2CNCCO2)cc1Br	CHEMBL3673012	=	10.3	2015	CHEMBL3638970
N#Cc1ccc(OC(F)F)c(NC(=O)Nc2ccc([C@H]3CNCCO3)cc2F)c1	CHEMBL3673013	=	1.2	2015	CHEMBL3638970
N#Cc1ccc(OC(F)F)c(NC(=O)Nc2ccc([C@@H]3CNCCO3)cc2F)c1	CHEMBL3673014	=	1.0	2015	CHEMBL3638970
CCOc1ccc(C#N)cc1NC(=O)Nc1ccc([C@H]2CNCCO2)cc1F	CHEMBL3673015	=	1.9	2015	CHEMBL3638970
CCOc1ccc(C#N)cc1NC(=O)Nc1ccc([C@@H]2CNCCO2)cc1F	CHEMBL3673016	=	3.9	2015	CHEMBL3638970
O=C(Nc1ccc([C@H]2CNCCO2)cc1F)c1cnn(-c2cccc(OC(F)F)c2)c1	CHEMBL3673017	=	1.1	2015	CHEMBL3638970
O=C(Nc1ccc([C@H]2CNCCO2)cc1F)c1cnn(-c2ccc(OC(F)F)cc2)c1	CHEMBL3673018	=	1.8	2015	CHEMBL3638970
O=C(NCc1cccc(OC(F)F)c1)Nc1ccc([C@@H]2CNCCO2)cc1F	CHEMBL3673019	=	6.4	2015	CHEMBL3638970
O=C(NCc1cccc(OC(F)F)c1)Nc1ccc([C@H]2CNCCO2)cc1F	CHEMBL3673020	=	3.9	2015	CHEMBL3638970
N#Cc1ccnc(C(=O)Nc2ccc([C@H]3CNCCO3)cc2F)c1	CHEMBL3673021	=	196.3	2015	CHEMBL3638970
N#Cc1ccnc(C(=O)Nc2ccc([C@@H]3CNCCO3)cc2F)c1	CHEMBL3673022	=	32.5	2015	CHEMBL3638970
N#Cc1cccc(C(=O)Nc2ccc([C@H]3CNCCO3)cc2F)n1	CHEMBL3673023	=	959.3	2015	CHEMBL3638970
O=C(Nc1ccc([C@H]2CNCCO2)cc1F)c1cnn(-c2ccc3c(c2)OC(F)(F)O3)c1	CHEMBL3673024	=	1.6	2015	CHEMBL3638970
O=C(Nc1ccc([C@@H]2CNCCO2)c(F)c1)c1ccnc(C(F)(F)F)c1	CHEMBL3673025	=	7.5	2015	CHEMBL3638970
CCOc1cc(C(=O)Nc2ccc([C@@H]3CNCCO3)c(F)c2)ccn1	CHEMBL3673026	=	4.7	2015	CHEMBL3638970
CCOc1ccc(C(=O)Nc2ccc([C@@H]3CNCCO3)c(F)c2)cn1	CHEMBL3673027	=	6.7	2015	CHEMBL3638970
O=C(Nc1ccc([C@@H]2CNCCO2)c(F)c1)c1cnn(-c2ccc(OC(F)F)cc2)c1	CHEMBL3673028	=	0.7	2015	CHEMBL3638970
O=C(Nc1ccc([C@H]2CNCCO2)c(F)c1)c1ccnc(C(F)(F)F)c1	CHEMBL3673029	=	20.2	2015	CHEMBL3638970
CCOc1cc(C(=O)Nc2ccc([C@H]3CNCCO3)c(F)c2)ccn1	CHEMBL3673030	=	45.8	2015	CHEMBL3638970
CCOc1ccc(C(=O)Nc2ccc([C@H]3CNCCO3)c(F)c2)cn1	CHEMBL3673031	=	25.4	2015	CHEMBL3638970
O=C(Nc1ccc([C@H]2CNCCO2)c(F)c1)c1cnn(-c2ccc(OC(F)F)cc2)c1	CHEMBL3673032	=	0.7	2015	CHEMBL3638970
CCOc1cc(C(=O)Nc2ccc([C@@H]3CNCCO3)c(Cl)c2)ccn1	CHEMBL3673033	=	3.0	2015	CHEMBL3638970
CCOc1ccc(C(=O)Nc2ccc([C@@H]3CNCCO3)c(Cl)c2)cn1	CHEMBL3673034	=	4.5	2015	CHEMBL3638970
O=C(Nc1ccc([C@@H]2CNCCO2)c(Cl)c1)c1cnn(-c2ccc(OC(F)F)cc2)c1	CHEMBL3673035	=	1.2	2015	CHEMBL3638970
CCOc1cc(C(=O)Nc2ccc([C@H]3CNCCO3)c(Cl)c2)ccn1	CHEMBL3673036	=	38.1	2015	CHEMBL3638970
CCOc1ccc(C(=O)Nc2ccc([C@H]3CNCCO3)c(Cl)c2)cn1	CHEMBL3673037	=	35.0	2015	CHEMBL3638970
O=C(Nc1ccc([C@H]2CNCCO2)c(Cl)c1)c1cnn(-c2ccc(OC(F)F)cc2)c1	CHEMBL3673038	=	0.6	2015	CHEMBL3638970
N#Cc1cccc(C(=O)Nc2ccc([C@@H]3CNCCO3)cc2Cl)n1	CHEMBL3673039	=	184.0	2015	CHEMBL3638970
N#Cc1cccc(C(=O)Nc2ccc([C@H]3CNCCO3)cc2Cl)n1	CHEMBL3673040	=	565.0	2015	CHEMBL3638970
N#Cc1ccc(C(=O)Nc2ccc([C@H]3CNCCO3)cc2Cl)nc1	CHEMBL3673041	=	154.4	2015	CHEMBL3638970
N#Cc1ccc(C(=O)Nc2ccc([C@@H]3CNCCO3)cc2Cl)nc1	CHEMBL3673042	=	20.2	2015	CHEMBL3638970
N#Cc1ccc(C(=O)Nc2ccc([C@H]3CNCCO3)cc2Cl)cn1	CHEMBL3673043	=	524.0	2015	CHEMBL3638970
N#Cc1ccc(C(=O)Nc2ccc([C@@H]3CNCCO3)cc2Cl)cn1	CHEMBL3673044	=	409.9	2015	CHEMBL3638970
N#Cc1ccc(-n2cc(C(=O)Nc3ccc([C@H]4CNCCO4)cc3Cl)cn2)cc1	CHEMBL3673045	=	3.1	2015	CHEMBL3638970
O=C(Nc1ccc([C@H]2CNCCO2)cc1F)c1cn(-c2ccc(OC(F)F)cc2)nn1	CHEMBL3673046	=	34.0	2015	CHEMBL3638970
N#Cc1ccc(-n2cc(C(=O)Nc3ccc([C@H]4CNCCO4)c(Cl)c3)cn2)cc1	CHEMBL3673047	=	2.7	2015	CHEMBL3638970
N#Cc1cc(Cl)cc(C(=O)Nc2ccc([C@H]3CNCCO3)cc2F)n1	CHEMBL3673048	=	93.8	2015	CHEMBL3638970
COc1cc(C(=O)Nc2ccc([C@H]3CNCCO3)c(F)c2)cc(C#N)n1	CHEMBL3673049	=	6.5	2015	CHEMBL3638970
N#Cc1ccc(-n2cc(C(=O)Nc3ccc([C@H]4CNCCO4)c(F)c3)cn2)c(F)c1	CHEMBL3673050	=	5.9	2015	CHEMBL3638970
N#Cc1ccc(-n2cc(C(=O)Nc3ccc([C@H]4CNCCO4)c(Cl)c3)cn2)c(F)c1	CHEMBL3673051	=	3.8	2015	CHEMBL3638970
N#Cc1ccc(-n2cc(C(=O)Nc3ccc([C@H]4CNCCO4)cc3F)cn2)c(F)c1	CHEMBL3673052	=	15.2	2015	CHEMBL3638970
N#Cc1ccc(-n2cc(C(=O)Nc3ccc([C@H]4CNCCO4)cc3F)cn2)cc1	CHEMBL3673053	=	8.6	2015	CHEMBL3638970
Cc1cc(C(=O)Nc2ccc([C@H]3CNCCO3)c(Cl)c2)cc(C#N)n1	CHEMBL3673054	=	24.8	2015	CHEMBL3638970
Cc1cc(C(=O)Nc2ccc([C@H]3CNCCO3)cc2F)cc(C#N)n1	CHEMBL3673055	=	65.4	2015	CHEMBL3638970
Cc1cc(C(=O)Nc2ccc([C@H]3CNCCO3)c(F)c2)cc(C(N)=O)n1	CHEMBL3673056	=	265.4	2015	CHEMBL3638970
Cc1cc(C(=O)Nc2ccc([C@H]3CNCCO3)c(F)c2)cc(C#N)n1	CHEMBL3673057	=	34.3	2015	CHEMBL3638970
NC(=O)c1cc(C(=O)Nc2ccc([C@H]3CNCCO3)c(F)c2)cc(Cl)n1	CHEMBL3673058	=	162.3	2015	CHEMBL3638970
CCc1cc(C(=O)Nc2ccc([C@H]3CNCCO3)c(F)c2)cc(C(N)=O)n1	CHEMBL3673059	=	45.0	2015	CHEMBL3638970
Cc1cc(C(=O)Nc2ccc([C@H]3CNCCO3)c(Cl)c2)cc(C(N)=O)n1	CHEMBL3673060	=	263.6	2015	CHEMBL3638970
Cc1cc(C(=O)Nc2ccc([C@H]3CNCCO3)cc2F)cc(C(N)=O)n1	CHEMBL3673061	=	686.8	2015	CHEMBL3638970
COc1cc(C(=O)Nc2ccc([C@H]3CNCCO3)cc2F)cc(C(N)=O)n1	CHEMBL3673062	=	425.6	2015	CHEMBL3638970
COc1cc(C(=O)Nc2ccc([C@H]3CNCCO3)cc2F)cc(C#N)n1	CHEMBL3673063	=	15.8	2015	CHEMBL3638970
Cc1cc(C(=O)Nc2ccc([C@H]3CNCCO3)cc2Cl)cc(C(N)=O)n1	CHEMBL3673064	=	758.0	2015	CHEMBL3638970
Cc1cc(C(=O)Nc2ccc([C@H]3CNCCO3)cc2Cl)cc(C#N)n1	CHEMBL3673065	=	47.4	2015	CHEMBL3638970
COc1cc(C(=O)Nc2ccc([C@H]3CNCCO3)cc2Cl)cc(C#N)n1	CHEMBL3673066	=	23.1	2015	CHEMBL3638970
O=C(Nc1ccc([C@H]2CNCCO2)cc1F)c1cnn(-c2cncc(C(F)(F)F)n2)c1	CHEMBL3673067	=	7.6	2015	CHEMBL3638970
O=C(Nc1ccc([C@H]2CNCCO2)cc1Cl)c1cnn(-c2cncc(C(F)(F)F)n2)c1	CHEMBL3673068	=	4.7	2015	CHEMBL3638970
O=C(Nc1ccc([C@H]2CNCCO2)c(F)c1)c1cnn(-c2cncc(C(F)(F)F)n2)c1	CHEMBL3677859	=	1.6	2015	CHEMBL3638970
O=C(Nc1ccc([C@H]2CNCCO2)c(Cl)c1)c1cnn(-c2cncc(C(F)(F)F)n2)c1	CHEMBL3677860	=	2.5	2015	CHEMBL3638970
O=C(Nc1ccc([C@H]2CNCCO2)c(F)c1)c1cnn(-c2cc(C(F)(F)F)ncn2)c1	CHEMBL3677861	=	2.5	2015	CHEMBL3638970
O=C(Nc1ccc([C@H]2CNCCO2)c(F)c1)c1cnn(-c2ccc(C(F)(F)F)nc2)c1	CHEMBL3677862	=	3.8	2015	CHEMBL3638970
N#Cc1cnc(-n2cc(C(=O)Nc3ccc([C@H]4CNCCO4)c(F)c3)cn2)cn1	CHEMBL3677863	=	14.4	2015	CHEMBL3638970
O=C(Nc1ccc([C@H]2CNCCO2)c(F)c1)c1cnn(-c2ccnc(C(F)(F)F)n2)c1	CHEMBL3677864	=	3.6	2015	CHEMBL3638970
N#Cc1cc(Cl)cc(C(=O)Nc2ccc([C@H]3CNCCO3)c(F)c2)n1	CHEMBL3677865	=	18.0	2015	CHEMBL3638970
O=C(Nc1ccc([C@H]2CNCCO2)c(F)c1)c1cnn(-c2cnc(C(F)(F)F)cn2)c1	CHEMBL3677866	=	4.0	2015	CHEMBL3638970
Cc1nc(C(=O)Nc2ccc([C@H]3CNCCO3)cc2F)ccc1C#N	CHEMBL3677867	=	578.3	2015	CHEMBL3638970
Cc1nc(C(=O)Nc2ccc([C@H]3CNCCO3)c(F)c2)ccc1C#N	CHEMBL3677868	=	58.5	2015	CHEMBL3638970
O=C(Nc1ccc([C@H]2CNCCO2)c(F)c1)c1cnc(C(F)(F)F)cn1	CHEMBL3677869	=	30.1	2015	CHEMBL3638970
CCOc1ccc(C(=O)Nc2ccc([C@H]3CNCCO3)cc2F)cn1	CHEMBL3677870	=	308.2	2015	CHEMBL3638970
NC1=N[C@@H](CCc2ccc(Nc3cccc4cccnc34)cc2)CO1	CHEMBL3656474	=	0.6	2014	CHEMBL3638821
NC1=N[C@@H](CCc2ccc(Nc3cccc4ccccc34)cc2)CO1	CHEMBL3656475	=	0.1	2014	CHEMBL3638821
NC1=N[C@@H](CCc2ccc(Nc3ccc(F)cn3)cc2)CO1	CHEMBL3656476	=	0.2	2014	CHEMBL3638821
Cc1cc(Nc2ccc(CC[C@H]3COC(N)=N3)cc2)c2ncccc2c1	CHEMBL3656477	=	0.6	2014	CHEMBL3638821
NC1=N[C@@H](CCc2ccc(Nc3cccc4cccc(Cl)c34)cc2)CO1	CHEMBL3656478	=	3.3	2014	CHEMBL3638821
NC1=N[C@@H](CCc2ccc(Nc3ccc(Cl)cc3)cc2)CO1	CHEMBL3656479	=	0.1	2014	CHEMBL3638821
NC1=N[C@@H](CCc2ccc(Nc3ccc(Cl)cc3F)cc2)CO1	CHEMBL3656480	=	0.1	2014	CHEMBL3638821
NC1=N[C@@H](CCc2ccc(Nc3ccc(C(F)(F)F)cc3)cc2)CO1	CHEMBL3656481	=	0.2	2014	CHEMBL3638821
COc1ccc(Nc2ccc(CC[C@H]3COC(N)=N3)cc2)cc1	CHEMBL3656482	=	0.2	2014	CHEMBL3638821
Cc1cc(Nc2ccc(CC[C@H]3COC(N)=N3)cc2)ccc1OC(F)(F)F	CHEMBL3656483	=	0.1	2014	CHEMBL3638821
NC1=N[C@@H](CCc2ccc(Nc3ccc(C(F)(F)F)cn3)cc2)CO1	CHEMBL3656484	=	0.4	2014	CHEMBL3638821
NC1=N[C@@H](CCc2ccc(Nc3ccccc3)cc2)CO1	CHEMBL3656486	=	0.1	2014	CHEMBL3638821
Cc1ccc(Nc2ccc(CC[C@H]3COC(N)=N3)cc2)cc1	CHEMBL3656487	=	0.1	2014	CHEMBL3638821
NC1=N[C@@H](CCc2ccc(Nc3ccc(Cl)cn3)cc2)CO1	CHEMBL3656488	=	0.1	2014	CHEMBL3638821
N#Cc1ccc(Nc2ccc(CC[C@H]3COC(N)=N3)cc2)nc1	CHEMBL3656489	=	0.4	2014	CHEMBL3638821
NC1=N[C@@H](CCc2ccc(Nc3cc(C(F)(F)F)ncn3)cc2)CO1	CHEMBL3656490	=	1.2	2014	CHEMBL3638821
NC1=N[C@@H](CCc2ccc(Nc3ncc(Cl)cn3)cc2)CO1	CHEMBL3656491	=	0.2	2014	CHEMBL3638821
NC1=N[C@@H](CCc2ccc(Nc3ccc(Cl)c(Cl)c3)cc2)CO1	CHEMBL3656492	=	0.1	2014	CHEMBL3638821
NC1=N[C@@H](CCc2ccc(Nc3ncc(F)cn3)cc2)CO1	CHEMBL3656493	=	4.0	2014	CHEMBL3638821
NC1=N[C@@H](CCc2ccc(Nc3ncccc3F)cc2)CO1	CHEMBL3656494	=	0.5	2014	CHEMBL3638821
NC1=N[C@@H](CCc2ccc(Nc3cc(F)ccn3)cc2)CO1	CHEMBL3656495	=	0.2	2014	CHEMBL3638821
NC1=N[C@@H](CCc2ccc(Nc3cc(C(F)(F)F)ccn3)cc2)CO1	CHEMBL3656496	=	0.2	2014	CHEMBL3638821
Cc1cc(Nc2ccc(CC[C@H]3COC(N)=N3)cc2)ncn1	CHEMBL3656497	=	1.3	2014	CHEMBL3638821
Cc1cccc(Nc2ccc(CC[C@H]3COC(N)=N3)cc2)n1	CHEMBL3656498	=	0.7	2014	CHEMBL3638821
NC1=N[C@@H](CCc2ccc(Nc3cccc(C(F)(F)F)n3)cc2)CO1	CHEMBL3656499	=	0.8	2014	CHEMBL3638821
NC1=N[C@@H](CCc2ccc(Nc3cncc(Cl)n3)cc2)CO1	CHEMBL3656500	=	4.0	2014	CHEMBL3638821
NC1=N[C@@H](CCc2ccc(Nc3cccc(Cl)n3)cc2)CO1	CHEMBL3656501	=	0.5	2014	CHEMBL3638821
Cc1ccc(Nc2ccc(CC[C@H]3COC(N)=N3)cc2)nc1	CHEMBL3656502	=	3.5	2014	CHEMBL3638821
COc1ccc(Nc2ccc(CC[C@H]3COC(N)=N3)cc2)nc1	CHEMBL3656503	=	8.3	2014	CHEMBL3638821
N#Cc1cncc(Nc2ccc(CC[C@H]3COC(N)=N3)cc2)n1	CHEMBL3656504	=	5.9	2014	CHEMBL3638821
NC1=N[C@@H](CCc2ccc(Nc3cc(Cl)ncn3)cc2)CO1	CHEMBL3656505	=	0.8	2014	CHEMBL3638821
COc1cc(Nc2ccc(CC[C@H]3COC(N)=N3)cc2)ncn1	CHEMBL3656506	=	2.3	2014	CHEMBL3638821
Cc1nccc(Nc2ccc(CC[C@H]3COC(N)=N3)cc2)n1	CHEMBL3656507	=	2.6	2014	CHEMBL3638821
NC1=N[C@@H](CCc2ccc(Nc3ccncn3)cc2)CO1	CHEMBL3656508	=	2.3	2014	CHEMBL3638821
COc1ccnc(Nc2ccc(CC[C@H]3COC(N)=N3)cc2)n1	CHEMBL3656509	=	0.4	2014	CHEMBL3638821
CCc1cnc(Nc2ccc(CC[C@H]3COC(N)=N3)cc2)nc1	CHEMBL3656510	=	1.2	2014	CHEMBL3638821
COc1cnc(Nc2ccc(CC[C@H]3COC(N)=N3)cc2)nc1	CHEMBL3656511	=	0.7	2014	CHEMBL3638821
N#Cc1cnc(Nc2ccc(CC[C@H]3COC(N)=N3)cc2)cn1	CHEMBL3656512	=	4.3	2014	CHEMBL3638821
NC1=N[C@@H](CCc2ccc(Nc3nccc(C(F)(F)F)n3)cc2)CO1	CHEMBL3656513	=	1.0	2014	CHEMBL3638821
NC1=N[C@@H](CCc2ccc(Nc3nccnc3Cl)cc2)CO1	CHEMBL3656514	=	3.1	2014	CHEMBL3638821
NC1=N[C@@H](CCc2ccc(Nc3cc(C(F)(F)F)cc(Cl)n3)cc2)CO1	CHEMBL3656515	=	1.6	2014	CHEMBL3638821
